(swalp) qian@salad:~/mi2019/SWALP$ ./exp/block_vgg_swa.sh CIFAR10 100
Checkpoint directory ./checkpoint/block-CIFAR10-VGG16LP/seed100
Tensorboard loggint at runs/block-CIFAR10-VGG16LP/seed100_10_24_00_36
Prepare data loaders:
Loading dataset CIFAR10 from .
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Prepare quantizers:
Block rounding, W:8, A:8, G:8, E:8, Acc:8
lr init: 0.05
swa start: 200.0 swa lr: 0.01
Model: VGG16LP
Prepare SWA training
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc  swa_te_acc        time
----  --------  ---------  --------  ---------  --------  ------------  --------
   1    0.0500     2.0653   19.5480     1.9239   24.6900                 55.5085
   2    0.0500     1.7633   30.0660     1.6017   35.2400                 53.4524
   3    0.0500     1.5594   39.6820     1.4158   45.9200                 53.6525
   4    0.0500     1.3844   49.3360     1.3408   52.6000                 53.5726
   5    0.0500     1.1942   58.0640     1.1000   62.7100                 53.6216
   6    0.0500     1.0606   63.4540     1.0450   64.0700                 53.5982
   7    0.0500     0.9740   66.9160     0.8360   72.9200                 53.6021
   8    0.0500     0.9073   70.1240     0.9251   69.7700                 53.5903
   9    0.0500     0.8320   72.6620     0.7684   75.2600                 53.5518
  10    0.0500     0.8062   73.9400     0.7773   74.0600                 53.6175
  11    0.0500     0.7463   76.0520     0.6718   78.1500                 53.4811
  12    0.0500     0.7074   77.3080     0.6493   78.7500                 53.5535
  13    0.0500     0.6987   77.7780     0.7187   76.7000                 53.6136
  14    0.0500     0.6695   78.6660     0.6681   78.6400                 53.4640
  15    0.0500     0.6431   79.5700     0.6826   78.6400                 53.6047
  16    0.0500     0.6137   80.3640     0.6211   80.3400                 53.5868
  17    0.0500     0.6009   80.8360     0.6039   81.1300                 53.5789
  18    0.0500     0.5881   81.4380     0.6008   80.7100                 53.5323
  19    0.0500     0.5723   81.8340     0.5711   82.4700                 53.6046
  20    0.0500     0.5548   82.3820     0.6526   79.2700                 53.5115
  21    0.0500     0.5659   82.1700     0.5647   82.1300                 53.5367
  22    0.0500     0.5444   83.1180     0.6338   80.0700                 53.6021
  23    0.0500     0.5427   82.9820     0.6362   81.2800                 53.5993
  24    0.0500     0.5229   83.6400     0.5371   82.8000                 53.5278
  25    0.0500     0.5276   83.6180     0.5432   83.1600                 53.5619
  26    0.0500     0.5186   83.6960     0.6648   78.9900                 53.5238
  27    0.0500     0.5087   84.0580     0.6210   81.2200                 53.5727
  28    0.0500     0.5099   84.1160     0.5357   83.1200                 53.5647
  29    0.0500     0.4922   84.4260     0.6670   79.1900                 53.6075
  30    0.0500     0.4861   84.7200     0.5471   82.9200                 53.5894
  31    0.0500     0.4632   85.4760     0.5698   82.0200                 53.5753
  32    0.0500     0.4915   84.6100     0.5280   83.4800                 53.5844
  33    0.0500     0.4763   85.0500     0.5789   82.4400                 53.6232
  34    0.0500     0.4873   84.7640     0.5440   83.4600                 53.5570
  35    0.0500     0.4661   85.2520     0.5385   82.7000                 53.4630
  36    0.0500     0.4498   86.1480     0.4966   84.8800                 53.4152
  37    0.0500     0.4613   85.5300     0.5338   83.6700                 53.5538
  38    0.0500     0.4523   85.7420     0.5076   83.6100                 53.6231
  39    0.0500     0.4551   85.8840     0.6546   80.9900                 53.4009
  40    0.0500     0.4362   86.3440     0.5657   83.6000                 53.5381
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc  swa_te_acc        time
----  --------  ---------  --------  ---------  --------  ------------  --------
  41    0.0500     0.4566   85.6780     0.4826   84.8700                 53.5971
  42    0.0500     0.4358   86.3240     0.4822   84.8900                 53.5822
  43    0.0500     0.4332   86.3500     0.5496   83.5600                 53.6073
  44    0.0500     0.4448   85.9380     0.5347   83.5000                 53.6277
  45    0.0500     0.4322   86.4580     0.5127   84.5500                 53.5732
  46    0.0500     0.4236   86.6880     0.4566   85.4500                 53.5788
  47    0.0500     0.4316   86.3960     0.5191   84.1900                 53.6001
  48    0.0500     0.4269   86.4200     0.4978   84.8900                 53.5560
  49    0.0500     0.4301   86.4680     0.4666   85.4400                 53.6306
  50    0.0500     0.4261   86.7300     0.5009   84.4200                 53.7184
  51    0.0500     0.4110   86.8920     0.4834   85.2400                 53.6227
  52    0.0500     0.4230   86.7020     0.4687   85.1800                 53.5387
  53    0.0500     0.4235   86.7080     0.4580   85.5900                 53.5417
  54    0.0500     0.4282   86.7580     0.5193   84.1500                 53.4753
  55    0.0500     0.4128   87.1520     0.5255   84.3200                 53.5241
  56    0.0500     0.4112   87.0020     0.4580   85.9100                 53.5723
  57    0.0500     0.4150   87.0260     0.4737   85.3500                 53.5473
  58    0.0500     0.4054   87.2680     0.4553   84.8100                 53.6150
  59    0.0500     0.4015   87.4920     0.5255   84.1700                 53.5996
  60    0.0500     0.4051   87.2400     0.4951   84.1600                 53.5551
  61    0.0500     0.3959   87.6000     0.5958   83.3300                 53.6247
  62    0.0500     0.4107   87.1160     0.4667   86.2600                 53.5134
  63    0.0500     0.3967   87.6600     0.4508   85.7900                 53.5786
  64    0.0500     0.4033   87.4560     0.4858   84.7100                 53.5504
  65    0.0500     0.4040   87.4900     0.4667   85.4900                 53.6203
  66    0.0500     0.4047   87.4540     0.4731   85.3200                 53.6250
  67    0.0500     0.4063   87.4040     0.4743   86.3700                 53.5784
  68    0.0500     0.4030   87.4840     0.4562   86.1000                 53.5827
  69    0.0500     0.3877   87.8320     0.4616   85.8100                 53.5413
  70    0.0500     0.3891   87.8180     0.4661   85.5200                 53.6036
  71    0.0500     0.3937   87.6060     0.4994   84.7400                 53.4528
  72    0.0500     0.3891   87.7480     0.4590   85.9900                 53.5009
  73    0.0500     0.4005   87.5160     0.5038   85.2900                 53.5034
  74    0.0500     0.3989   87.6220     0.4896   84.1000                 53.5184
  75    0.0500     0.3869   87.7160     0.4424   86.6000                 53.5170
  76    0.0500     0.3899   87.9860     0.5528   83.9500                 53.5735
  77    0.0500     0.3871   87.8960     0.4271   85.9800                 53.5571
  78    0.0500     0.3921   87.7260     0.4608   85.9000                 53.5513
  79    0.0500     0.3841   88.0980     0.4774   85.3400                 53.5950
  80    0.0500     0.3804   88.0000     0.4140   87.4800                 53.6234
----  --------  ---------  --------  ---------  --------  ------------  --------
  ep        lr    tr_loss    tr_acc    te_loss    te_acc  swa_te_acc        time
----  --------  ---------  --------  ---------  --------  ------------  --------
  81    0.0500     0.3860   88.0600     0.4941   84.8100                 53.5707
  82    0.0500     0.3898   87.9680     0.5080   84.5500                 53.5334
  83    0.0500     0.3829   88.0740     0.4343   86.4400                 53.4711
  84    0.0500     0.3866   88.1200     0.5018   84.2900                 53.6493
  85    0.0500     0.3797   88.2980     0.4567   86.7500                 53.5938
  86    0.0500     0.3820   88.2380     0.4753   85.7300                 53.5835
  87    0.0500     0.3773   88.2720     0.4893   85.0500                 53.4077
  88    0.0500     0.3788   88.1820     0.5493   83.8100                 53.5475
  89    0.0500     0.3776   88.1320     0.4526   85.7800                 53.5339
  90    0.0500     0.3915   87.6980     0.5364   84.7200                 53.5255
  91    0.0500     0.3867   87.9500     0.4226   86.4700                 53.6249
  92    0.0500     0.3729   88.3300     0.4500   85.8800                 53.6166
  93    0.0500     0.3827   88.2000     0.5300   84.6100                 53.5367
  94    0.0500     0.3737   88.3080     0.4311   86.4600                 53.5570
  95    0.0500     0.3846   87.9800     0.4661   86.1300                 53.6461
  96    0.0500     0.3735   88.3880     0.4918   84.9000                 53.6431
  97    0.0500     0.3847   88.1660     0.4665   86.2700                 53.5736
  98    0.0500     0.3690   88.5760     0.4295   86.4900                 53.5817
